ID,Name,Studio,Rotten,Genre,Domestic,Budget
442,Percy Jackson & the Olympians: The Lightning Thief,Fox,50,Action,88.77,95
443,Percy Jackson: Sea of Monsters,Fox,40,Adventure,68.558662,90
444,Philomena,Weinstein ,92,Drama,33.220299,12
445,Pineapple Express,Sony,68,Action,87.34,26
446,Piranha 3-D,The Weinstein Company,74,Comedy,25.00,24
447,"Pirate Radio (The Boat that Rocked, UK)",Focus,60,Comedy,8.01,50
448,"Pirates of the Caribbean:
On Stranger Tides",Disney,34,Action,241.07,250
449,Pirates of the Caribbean: At World's End,Disney,45,Action,309.42,20
450,Pitch Perfect,Uni.,81,Comedy,65.001093,17
451,Planes,Buena Vista,26,Animation,90.288712,50
452,Planet 51 ,Independent,22,Animation,42.19,70
453,Please Give,Sony,88,Comedy,4.03,3
454,Post Grad ,Fox,7,Comedy,6.38,15
455,Predators,Fox,64,Action,52.00,40
456,Premium Rush,Sony,76,Action,20.275446,35
457,Premonition,Sony,8,Drama,47.85,22
458,Priest,Sony,17,Action,29.14,60
459,Prince of Persia: The Sands of Time,Disney,36,Action,90.76,200
460,Prom Night,Independent,8,Horror,43.87,18
461,Prometheus,Fox,74,Action,126.477084,130
462,Punisher: War Zone,Lionsgate,27,Action,8.05,35
463,Push ,Summit,22,Action,31.81,38
464,Puss In Boots,DreamWorks,83,Animation,149.26,130
465,Quantum of Solace,MGM,64,Action,168.37,230
466,Quarantine,Sony,59,Horror,31.69,12
467,Race to Witch Mountain ,Buena Vista,42,Action,67.17,50
468,Rachel Getting Married,Independent,85,Drama,12.80,12
469,Rambo,Lionsgate,36,Action,42.75,47.5
470,Rango,Paramount,88,Animation,123.48,135
471,Ratatouille,Disney,97,Animation,206.45,25
472,Real Steel,DreamWorks Pictures,58,Action,85.47,110
473,Red,Summit,71,Action,90.38,58
474,Red 2,Lionsgate / Summit,42,Action,53.26256,84
475,Red Dawn (2012),FD,12,Action,44.806783,65
476,Red Riding Hood,Warner Bros,11,Horror,37.66,42
477,Red State,Independent,57,Horror,1.10,4
478,Red Tails,Fox,40,Action,49.876377,58
479,Religulous,Lionsgate,70,Documentary,13.01,2.5
